Model,Region,Discharge,Expression,Cumulative probability,Value
CAT_775,region_5,Waste dump_1,CONT,"[0, 0.03, 0.19, 0.35, 0.51, 0.67, 0.81, 0.83, 0.84, 0.87, 0.89, 1]","[0.001, 3.4, 5.1, 6.1, 8.2, 11.3, 14.2, 17.1, 19.8, 25.3, 27.4, 36.8]"
CAT_775,region_5,Waste dump_2,NORM,11.885,0.59425
CAT_775,region_5,Wet_plant,CONT,"[0, 0.15, 0.3, 0.46, 0.61, 0.76, 0.91, 0.96, 0.98, 0.99, 0.99, 1]","[0.001, 5.1, 5.9, 6.6, 7.6, 9.3, 14, 21.5, 29, 36, 43.3, 108.8]"
CAT_775,region_6,Dry_plant,NORM,22.95,1.1475
CAT_775,region_6,Waste dump_1,NORM,7.345,0.36725
CAT_775,region_6,Waste dump_2,NORM,7.345,0.36725
CAT_775,region_6,Wet_plant,NORM,21.37,1.0685
CAT_775,region_7,Dry_plant,CONT,"[0, 0.15, 0.31, 0.46, 0.61, 0.76, 0.91, 0.96, 0.97, 0.98, 1]","[0.001, 5.6, 6.8, 7.8, 9.1, 11.2, 17.6, 24.6, 31.4, 37, 92.8]"
CAT_775,region_7,Waste dump_1,CONT,"[0, 0.15, 0.31, 0.46, 0.61, 0.76, 0.91, 0.96, 0.97, 0.98, 1]","[0.001, 5.6, 6.8, 7.8, 9.1, 11.2, 17.6, 24.6, 31.4, 37, 92.8]"
CAT_775,region_7,Waste dump_2,CONT,"[0, 0.15, 0.31, 0.46, 0.61, 0.76, 0.91, 0.96, 0.97, 0.98, 1]","[0.001, 5.6, 6.8, 7.8, 9.1, 11.2, 17.6, 24.6, 31.4, 37, 92.8]"
CAT_775,region_7,Wet_plant,CONT,"[0, 0.05, 0.2, 0.35, 0.5, 0.65, 0.8, 0.91, 0.96, 0.97, 0.98, 0.99, 0.99, 0.99, 1]","[0.001, 3.9, 6.4, 8, 9.1, 10.3, 12.3, 16.2, 20, 23.8, 27.8, 31.7, 35.7, 39, 55.9]"
CAT_775,region_8,Dry_plant,CONT,"[0, 0.11, 0.28, 0.44, 0.56, 0.61, 1]","[0.001, 1.8, 4.4, 5.7, 7.3, 9.4, 20.4]"
CAT_775,region_8,Waste dump_1,CONT,"[0, 0.14, 0.33, 0.52, 0.71, 1]","[0.001, 2.6, 6.9, 8, 9.1, 37.5]"
CAT_775,region_8,Waste dump_2,CONT,"[0, 0.14, 0.33, 0.52, 0.71, 1]","[0.001, 2.6, 6.9, 8, 9.1, 37.5]"
CAT_775,region_8,Wet_plant,CONT,"[0, 0.15, 0.23, 0.38, 0.54, 0.65, 0.67, 0.77, 0.79, 1]","[0.001, 3.4, 6, 7.4, 9, 11, 13.4, 18.8, 22.6, 26.8]"
CAT_785,region_1,Dry_plant,CONT,"[0, 0.15, 0.3, 0.45, 0.6, 0.75, 0.81, 0.85, 1]","[0.001, 4.2, 5.5, 7.9, 10.7, 12.2, 16.1, 17.9, 40.7]"
CAT_785,region_1,Waste dump_1,CONT,"[0, 0.11, 0.26, 0.41, 0.56, 0.71, 0.86, 0.96, 0.98, 0.98, 0.99, 0.99, 1]","[0.001, 4.7, 6.6, 9.3, 10.4, 11.7, 14.1, 18.8, 23.2, 27.3, 32.7, 37.6, 65.6]"
CAT_785,region_1,Waste dump_2,NORM,16.725,0.83625
CAT_785,region_1,Wet_plant,CONT,"[0, 0.15, 0.3, 0.45, 0.6, 0.75, 0.91, 0.96, 0.98, 0.99, 0.99, 0.99, 1]","[0.001, 4, 4.8, 5.5, 6.5, 9.1, 12.6, 17.4, 22, 26.6, 29.9, 36.6, 66.5]"
CAT_785,region_2,Dry_plant,CONT,"[0, 0.15, 0.3, 0.45, 0.6, 0.75, 0.81, 0.85, 1]","[0.001, 4.2, 5.5, 7.9, 10.7, 12.2, 16.1, 17.9, 40.7]"
CAT_785,region_2,Waste dump_1,CONT,"[0, 0.11, 0.26, 0.41, 0.56, 0.71, 0.86, 0.96, 0.98, 0.98, 0.99, 0.99, 1]","[0.001, 4.7, 6.6, 9.3, 10.4, 11.7, 14.1, 18.8, 23.2, 27.3, 32.7, 37.6, 65.6]"
CAT_785,region_2,Waste dump_2,NORM,16.725,0.83625
CAT_785,region_2,Wet_plant,CONT,"[0, 0.15, 0.3, 0.45, 0.6, 0.75, 0.91, 0.96, 0.98, 0.99, 0.99, 0.99, 1]","[0.001, 4, 4.8, 5.5, 6.5, 9.1, 12.6, 17.4, 22, 26.6, 29.9, 36.6, 66.5]"
CAT_785,region_3,Dry_plant,NORM,13.575,0.67875
CAT_785,region_3,Waste dump_1,CONT,"[0, 0.03, 0.12, 0.26, 0.35, 0.47, 0.65, 0.68, 0.74, 1]","[0.001, 0, 4, 6.4, 8.3, 10.8, 12, 13.5, 16.2, 19.7]"
CAT_785,region_3,Waste dump_2,NORM,16.225,0.81125
CAT_785,region_3,Wet_plant,NORM,8.69,0.4345
CAT_785,region_4,Dry_plant,NORM,13.9,0.695
CAT_785,region_4,Waste dump_1,CONT,"[0, 0.03, 0.12, 0.26, 0.35, 0.47, 0.65, 0.68, 0.74, 1]","[0.001, 0, 4, 6.4, 8.3, 10.8, 12, 13.5, 16.2, 19.7]"
CAT_785,region_4,Waste dump_2,NORM,12.22,0.611
CAT_785,region_4,Wet_plant,NORM,9.4,0.47
CAT_785,region_5,Dry_plant,CONT,"[0, 0.33, 1]","[0.001, 18.5, 29.4]"
CAT_785,region_5,Waste dump_1,CONT,"[0, 0.03, 0.12, 0.26, 0.35, 0.47, 0.65, 0.68, 0.74, 1]","[0.001, 0, 4, 6.4, 8.3, 10.8, 12, 13.5, 16.2, 19.7]"
CAT_785,region_5,Waste dump_2,NORM,12.22,0.611
CAT_785,region_5,Wet_plant,CONT,"[0, 0.1, 0.27, 0.44, 0.61, 0.76, 0.78, 1]","[0.001, 4.1, 4.8, 5.7, 8.3, 11, 17.4, 30.5]"
CAT_785,region_6,Dry_plant,NORM,24.21,1.2105
CAT_785,region_6,Waste dump_1,NORM,7.84,0.392
CAT_785,region_6,Waste dump_2,NORM,7.84,0.392
CAT_785,region_6,Wet_plant,NORM,23.255,1.16275
CAT_785,region_7,Dry_plant,CONT,"[0, 0.15, 0.31, 0.46, 0.61, 0.76, 0.91, 0.94, 0.95, 0.97, 1]","[0.001, 3.7, 4.4, 5.5, 6.6, 8.3, 12.8, 17, 20.4, 24.7, 56.7]"
CAT_785,region_7,Waste dump_1,CONT,"[0, 0.12, 0.27, 0.43, 0.58, 0.73, 0.88, 0.94, 0.97, 0.98, 0.99, 0.99, 0.99, 0.99, 1]","[0.001, 3.6, 4.3, 5, 5.8, 7.2, 9.7, 13.2, 16.7, 20.4, 23.9, 26.3, 30.5, 33.1, 52.2]"
CAT_785,region_7,Waste dump_2,CONT,"[0, 0.12, 0.27, 0.43, 0.58, 0.73, 0.88, 0.94, 0.97, 0.98, 0.99, 0.99, 0.99, 0.99, 1]","[0.001, 3.6, 4.3, 5, 5.8, 7.2, 9.7, 13.2, 16.7, 20.4, 23.9, 26.3, 30.5, 33.1, 52.2]"
CAT_785,region_7,Wet_plant,CONT,"[0, 0.09, 0.24, 0.39, 0.54, 0.69, 0.84, 0.91, 0.95, 0.97, 0.98, 0.98, 0.99, 0.99, 1]","[0.001, 3.2, 4.2, 5.1, 6.6, 8.3, 10.6, 13.6, 16.8, 19.8, 23.2, 25.6, 29.3, 32.3, 44.3]"
CAT_785,region_8,Dry_plant,CONT,"[0, 0.15, 0.23, 0.38, 0.62, 1]","[0.001, 3.7, 4.1, 5.8, 7, 14.6]"
CAT_785,region_8,Waste dump_1,CONT,"[0, 0.17, 0.34, 0.51, 0.69, 0.74, 0.77, 1]","[0.001, 4, 6.2, 7.5, 9.7, 19.9, 36.1, 102.4]"
CAT_785,region_8,Waste dump_2,CONT,"[0, 0.17, 0.34, 0.51, 0.69, 0.74, 0.77, 1]","[0.001, 4, 6.2, 7.5, 9.7, 19.9, 36.1, 102.4]"
CAT_785,region_8,Wet_plant,CONT,"[0, 0.15, 0.3, 0.45, 0.6, 0.76, 0.87, 0.91, 0.94, 0.94, 0.95, 1]","[0.001, 3, 4.4, 6.4, 7.6, 9.2, 13.6, 17.9, 22.9, 26.4, 33.2, 55.2]"
